orientation,1
timestamp_nanosecond,local_timestamp_milliseconds,accel_x_mps2,accel_y_mps2,accel_z_mps2,rotation_x_sin_theta_by_2,rotation_y_sin_theta_by_2,rotation_z_sin_theta_by_2,rotation_cos_theta_by_2,angvelocity_x_radps,angvelocity_y_radps,angvelocity_z_radps,yaw,pitch,roll,bbi
1622750749697,1622750749697,10.766505,-0.29192436,-0.9720842,-0.7201788,-0.014648138,-0.6929558,0.030663673,-0.0076355906,-0.016798299,-0.0047340663,3.043147,0.026997719,-1.66084,
1622750749797,1622750749798,11.49183,-0.046660043,-0.98644114,-0.72155184,-0.012466773,-0.6916356,0.029115131,0.0018325418,0.0021379655,-0.011453386,3.034819,0.004045381,-1.6564249,
1622750749900,1622750749900,10.740185,-0.5051847,-1.131506,-0.7217442,-0.012414941,-0.6914548,0.028659765,-0.0056503373,0.0019852535,-0.017256435,3.0760643,0.04674392,-1.6757617,
1622750750001,1622750750001,9.863813,0.031106694,0.18544376,-0.72167856,-0.0131404,-0.69153076,0.028153153,-0.0056503373,-0.004123219,0.0015271181,2.8858058,-0.0031530496,-1.5519981,
1622750750101,1622750750101,11.018949,-0.3361916,-0.48245287,-0.7220498,-0.013424313,-0.6911873,0.02690779,-0.00671932,-0.009773556,0.010537115,2.9861467,0.030471679,-1.6145523,
1622750750201,1622750750201,9.899706,-0.19860429,-0.23120649,-0.722257,-0.013204903,-0.6909882,0.026565824,-0.0061084726,-0.012522369,0.0047340663,2.9552605,0.020053478,-1.594147,
1622750750301,1622750750301,9.906884,-0.898804,-0.36400816,-0.7245055,-0.009291544,-0.6887786,0.02428074,-0.0012216945,0.01175881,0.0018325418,2.9851418,0.09041681,-1.6075227,
1622750750402,1622750750402,9.976275,-0.42981076,-0.35682967,-0.72453576,-0.009412557,-0.688752,0.024083413,-0.0036650836,0.017103724,0.0018325418,2.9760573,0.04302918,-1.6065489,
1622750750503,1622750750504,10.864612,-0.5733801,-0.74117684,-0.72603774,-0.006760299,-0.68725103,0.022571182,-0.0030542363,0.009773556,6.1084726E-4,3.02546,0.05260407,-1.6389102,
1622750750605,1622750750605,9.8219385,0.32452658,-1.4150555,-0.7255857,-0.0070316275,-0.68769324,0.02353567,-0.0012216945,-0.0027488125,-0.012064233,3.1404579,-0.03269168,-1.7138827,
1622750750706,1622750750706,9.144471,-0.05742774,-0.36281174,-0.7258819,-0.0068462617,-0.6874036,0.022911793,0.009162709,-0.008093726,-4.5813544E-4,3.0030499,0.006275031,-1.6104511,
1622750750807,1622750750807,11.312368,-0.20219351,-1.0570294,-0.7256397,-0.00797219,-0.6876613,0.022482092,0.012216945,-0.0053449133,0.016492875,3.0941575,0.01779427,-1.663966,
1622750750908,1622750750908,10.304392,-0.36131623,-1.5873387,-0.7261496,-0.00873606,-0.6871801,0.020346554,9.162709E-4,0.0029015245,-0.009009997,-3.0972462,0.034641657,-1.7236397,
1622750751008,1622750751009,8.937193,0.6415756,-0.37238303,-0.7271238,-0.007515421,-0.6862063,0.018851724,-0.0056503373,0.011911522,-0.006566608,2.9939005,-0.07160229,-1.6124389,
1622750751108,1622750751109,10.016953,-0.54346985,-0.78424764,-0.7278358,-0.0068497616,-0.6854933,0.01752602,0.0038177953,0.017867282,-0.016951011,3.0633872,0.054036826,-1.648929,
1622750751209,1622750751209,9.861421,-0.19501504,-0.90029955,-0.72767603,-0.0065108407,-0.6856457,0.018306687,4.5813544E-4,0.008093726,0.005497625,3.077438,0.019691106,-1.661839,
1622750751311,1622750751311,9.138489,-0.46809593,-0.20249261,-0.7272927,-0.00841824,-0.68605286,0.0174913,0.0061084726,0.0056503373,-0.018478129,2.994541,0.0511652,-1.5929509,
1622750751412,1622750751412,9.936794,0.08135597,-1.2750753,-0.72805023,-0.0076232236,-0.685291,0.016156096,0.009773556,0.006413896,-0.010231691,-3.1315613,-0.008120583,-1.6984175,
