FID,x_ft,y_ft
563,2507868.052,1673903.565
564,2507856.472,1673913.099
565,2507844.892,1673922.634
566,2507833.312,1673932.168
567,2507821.732,1673941.703
568,2507810.152,1673951.237
569,2507798.572,1673960.772
570,2507786.993,1673970.306
571,2507775.413,1673979.841
572,2507763.833,1673989.375
573,2507752.253,1673998.91
574,2507740.673,1674008.444
575,2507729.093,1674017.979
576,2507717.513,1674027.513
577,2507705.934,1674037.047
578,2507694.354,1674046.582
579,2507682.774,1674056.116
580,2507671.194,1674065.651
581,2507659.614,1674075.185
582,2507648.034,1674084.72
583,2507636.454,1674094.254
584,2507624.875,1674103.789
585,2507613.295,1674113.323
586,2507601.715,1674122.858
587,2507590.135,1674132.392
588,2507578.555,1674141.927
589,2507566.975,1674151.461
590,2507555.395,1674160.995
591,2507543.816,1674170.53
592,2507532.236,1674180.064
593,2507520.656,1674189.599
594,2507509.076,1674199.133
595,2507497.496,1674208.668
596,2507485.916,1674218.202
597,2507474.336,1674227.737
598,2507462.757,1674237.271
599,2507451.177,1674246.806
600,2507439.597,1674256.34
601,2507428.017,1674265.875
602,2507416.437,1674275.409
603,2507404.857,1674284.943
604,2507393.277,1674294.478
605,2507381.697,1674304.012
606,2507370.118,1674313.547
607,2507358.538,1674323.081
608,2507346.958,1674332.616
609,2507335.378,1674342.15
610,2507323.798,1674351.685
611,2507312.218,1674361.219
612,2507300.638,1674370.754
613,2507289.059,1674380.288
614,2507277.479,1674389.823
615,2507265.899,1674399.357
616,2507254.319,1674408.891
617,2507242.739,1674418.426
618,2507231.159,1674427.96
619,2507219.579,1674437.495
620,2507208,1674447.029
621,2507196.42,1674456.564
622,2507184.84,1674466.098
623,2507173.26,1674475.633
624,2507161.68,1674485.167
625,2507150.111,1674494.715
626,2507138.546,1674504.267
627,2507126.981,1674513.819
628,2507115.415,1674523.371
629,2507103.85,1674532.924
630,2507092.285,1674542.476
631,2507080.72,1674552.028
632,2507069.154,1674561.58
633,2507057.589,1674571.132
634,2507046.024,1674580.684
635,2507034.459,1674590.237
636,2507022.893,1674599.789
637,2507011.328,1674609.341
638,2506999.763,1674618.893
639,2506988.198,1674628.445
640,2506976.632,1674637.997
641,2506965.067,1674647.549
642,2506953.502,1674657.102
643,2506941.936,1674666.654
644,2506930.371,1674676.206
645,2506918.806,1674685.758
646,2506907.241,1674695.31
647,2506895.675,1674704.862
648,2506884.11,1674714.415
649,2506872.545,1674723.967
650,2506860.98,1674733.519
651,2506849.414,1674743.071
652,2506837.849,1674752.623
653,2506826.284,1674762.175
654,2506814.719,1674771.727
655,2506803.153,1674781.28
656,2506791.588,1674790.832
657,2506780.023,1674800.384
658,2506768.457,1674809.936
659,2506756.892,1674819.488
660,2506745.327,1674829.04
661,2506733.762,1674838.593
662,2506722.196,1674848.145
663,2506710.631,1674857.697
664,2506699.066,1674867.249
665,2506687.501,1674876.801
666,2506675.935,1674886.353
667,2506664.37,1674895.905
668,2506652.805,1674905.458
669,2506641.24,1674915.01
670,2506629.674,1674924.562
671,2506618.109,1674934.114
672,2506606.535,1674943.656
673,2506594.919,1674953.146
674,2506583.303,1674962.637
675,2506571.687,1674972.127
676,2506560.071,1674981.618
677,2506548.455,1674991.108
678,2506536.839,1675000.598
679,2506525.223,1675010.089
680,2506513.607,1675019.579
681,2506501.991,1675029.07
682,2506490.375,1675038.56
683,2506478.759,1675048.05
684,2506467.143,1675057.541
685,2506455.527,1675067.031
686,2506443.911,1675076.522
687,2506432.295,1675086.012
688,2506420.679,1675095.502
689,2506409.063,1675104.993
690,2506397.447,1675114.483
691,2506385.831,1675123.974
692,2506374.215,1675133.464
693,2506362.599,1675142.954
694,2506350.983,1675152.445
695,2506339.367,1675161.935
696,2506327.751,1675171.426
697,2506316.135,1675180.916
698,2506304.519,1675190.406
699,2506292.903,1675199.897
700,2506281.287,1675209.387
701,2506269.671,1675218.878
702,2506258.055,1675228.368
703,2506246.439,1675237.858
704,2506234.823,1675247.349
705,2506223.207,1675256.839
706,2506211.591,1675266.33
707,2506199.975,1675275.82
708,2506188.359,1675285.31
709,2506176.743,1675294.801
710,2506165.127,1675304.291
711,2506153.511,1675313.782
712,2506141.895,1675323.272
713,2506130.279,1675332.762
714,2506118.663,1675342.253
715,2506107.047,1675351.743
716,2506095.431,1675361.234
717,2506083.815,1675370.724
718,2506072.199,1675380.214
719,2506060.583,1675389.705
720,2506048.967,1675399.195
721,2506037.351,1675408.686
722,2506025.735,1675418.176
723,2506014.119,1675427.666
724,2506002.503,1675437.157
725,2505990.887,1675446.647
726,2505979.271,1675456.138
727,2505967.655,1675465.628
728,2505956.039,1675475.118
729,2505944.45,1675484.642
730,2505932.871,1675494.176
731,2505921.291,1675503.711
732,2505909.711,1675513.246
733,2505898.132,1675522.78
734,2505886.552,1675532.315
735,2505874.972,1675541.85
736,2505863.393,1675551.384
737,2505851.813,1675560.919
738,2505840.233,1675570.454
739,2505828.654,1675579.988
740,2505817.074,1675589.523
741,2505805.494,1675599.058
742,2505793.915,1675608.593
743,2505782.335,1675618.127
744,2505770.755,1675627.662
745,2505759.176,1675637.197
746,2505747.596,1675646.731
747,2505736.016,1675656.266
748,2505724.436,1675665.801
